[2026-01-16 16:16:25,644 ] 16 root - INFO - Initiate Data Ingestion
[2026-01-16 16:16:27,355 ] 58 root - INFO - Performed Train and Test Split
[2026-01-16 16:16:27,356 ] 62 root - INFO - Exporting train test file path
[2026-01-16 16:16:27,392 ] 70 root - INFO - Exported to train test file path
[2026-01-16 16:16:27,392 ] 18 root - INFO - Data Ingestion completed
[2026-01-16 16:16:27,395 ] 22 root - INFO - Initiate Data Validation
[2026-01-16 16:16:27,472 ] 31 root - INFO - Required no of columns are 31
[2026-01-16 16:16:27,472 ] 32 root - INFO - Datframe has 31
[2026-01-16 16:16:27,472 ] 31 root - INFO - Required no of columns are 31
[2026-01-16 16:16:27,472 ] 32 root - INFO - Datframe has 31
[2026-01-16 16:16:27,593 ] 24 root - INFO - Data Validation completed
[2026-01-16 16:16:27,593 ] 26 root - INFO - Initiate Data Transformation
[2026-01-16 16:16:27,593 ] 44 root - INFO - Entered initiate method of data transformation
[2026-01-16 16:16:27,593 ] 46 root - INFO - Reading training and testing files
[2026-01-16 16:16:27,611 ] 34 root - INFO - Creating data transformation object
[2026-01-16 16:16:27,621 ] 41 root - INFO - Entered the save_object method of Main Utils
[2026-01-16 16:16:27,622 ] 45 root - INFO - Exited the save_object method of Main Utils
[2026-01-16 16:16:27,622 ] 30 root - INFO - Completed Data Transformation
